Exchanges [Primary Listing],CIK
New York Stock Exchange (NYSE),1114483
Nasdaq Global Select (NasdaqGS),772406
-,1370416
New York Stock Exchange (NYSE),1024795
Nasdaq Global Select (NasdaqGS),1159167
New York Stock Exchange (NYSE),0000315011; 0000791963
Nasdaq Global Select (NasdaqGS),776901
New York Stock Exchange (NYSE),0001049172; 0001278027
Nasdaq Global Select (NasdaqGS),1158324
New York Stock Exchange (NYSE),33002
NYSE MKT LLC (NYSEAM),1065059
New York Stock Exchange (NYSE),1039828
Nasdaq Global Select (NasdaqGS),1128361
Nasdaq Global Select (NasdaqGS),921557
-,1063259
New York Stock Exchange (NYSE),49754
Nasdaq Global Select (NasdaqGS),1012019
New York Stock Exchange (NYSE),0000734716; 0000884219
New York Stock Exchange (NYSE),14707
Nasdaq Capital Market (NasdaqCM),914712
New York Stock Exchange (NYSE),1367644
New York Stock Exchange (NYSE),766829
Nasdaq Global Select (NasdaqGS),55135
Nasdaq Global Select (NasdaqGS),1119769
Nasdaq Global Select (NasdaqGS),0000353569; 0001906324
-,1134115
New York Stock Exchange (NYSE),16859
Nasdaq Global Select (NasdaqGS),874866
New York Stock Exchange (NYSE),1393883
New York Stock Exchange (NYSE),95552
Nasdaq Global Select (NasdaqGS),1377789
Nasdaq Global Select (NasdaqGS),1084961
Nasdaq Global Select (NasdaqGS),0001005409; 0000846617
Nasdaq Global Select (NasdaqGS),800457
Nasdaq Global Select (NasdaqGS),0000821002; 0001334647
New York Stock Exchange (NYSE),8947
Nasdaq Global Select (NasdaqGS),885462
Nasdaq Global Select (NasdaqGS),0000932691; 0000714562
Nasdaq Global Select (NasdaqGS),1318484
New York Stock Exchange (NYSE),1436126
New York Stock Exchange (NYSE),712034
Nasdaq Global Select (NasdaqGS),0000858655; 0000909698
Nasdaq Global Select (NasdaqGS),1040130
Nasdaq Global Select (NasdaqGS),924717
New York Stock Exchange (NYSE),712537
Nasdaq Global Select (NasdaqGS),58361
NYSE MKT LLC (NYSEAM),1005817
Nasdaq Global Select (NasdaqGS),1275187
New York Stock Exchange (NYSE),0001295474; 0001295947
Nasdaq Global Select (NasdaqGS),799167
Nasdaq Global Select (NasdaqGS),1375365
Nasdaq Global Select (NasdaqGS),6845
Nasdaq Global Select (NasdaqGS),34782
New York Stock Exchange (NYSE),896156
Nasdaq Global Select (NasdaqGS),751978
Nasdaq Global Select (NasdaqGS),1318008
Nasdaq Global Select (NasdaqGS),1333493
Nasdaq Global Select (NasdaqGS),851520
New York Stock Exchange (NYSE),62234
Nasdaq Global Select (NasdaqGS),0000832428; 0000880937
Nasdaq Global Select (NasdaqGS),0000043365; 0001372020; 0000885538
Nasdaq Global Select (NasdaqGS),0001094831; 0001950475
Nasdaq Global Select (NasdaqGS),915779
New York Stock Exchange (NYSE),71829
Nasdaq Global Select (NasdaqGS),56978
New York Stock Exchange (NYSE),1104657
Nasdaq Global Select (NasdaqGS),926326
New York Stock Exchange (NYSE),1144980
Nasdaq Global Select (NasdaqGS),1093557
Nasdaq Global Select (NasdaqGS),1309402
Nasdaq Global Select (NasdaqGS),50493
Nasdaq Global Select (NasdaqGS),350852
New York Stock Exchange (NYSE),1408100
Nasdaq Global Select (NasdaqGS),1156388
-,1050140
Nasdaq Global Select (NasdaqGS),0001177257; 0001339605
Nasdaq Global Select (NasdaqGS),822663
New York Stock Exchange (NYSE),1694426
Nasdaq Global Select (NasdaqGS),103595
-,1395213
Nasdaq Global Select (NasdaqGS),80420
Nasdaq Capital Market (NasdaqCM),0001964333; 0001101250
Nasdaq Global Select (NasdaqGS),0000046205; 0001172222
-,1174169
-,1308648
Nasdaq Global Select (NasdaqGS),700923
New York Stock Exchange (NYSE),857949
New York Stock Exchange (NYSE),318833
New York Stock Exchange (NYSE),107687
Nasdaq Global Select (NasdaqGS),917470
New York Stock Exchange (NYSE),764038
-,1499849
Nasdaq Global Select (NasdaqGS),827187
Nasdaq Global Select (NasdaqGS),923139
New York Stock Exchange (NYSE),906338
Nasdaq Global Select (NasdaqGS),1517396
Nasdaq Global Select (NasdaqGS),917491
Nasdaq Global Select (NasdaqGS),1421517
Nasdaq Global Select (NasdaqGS),1056285
New York Stock Exchange (NYSE),75288
Nasdaq Global Select (NasdaqGS),1018979
Nasdaq Global Select (NasdaqGS),1102993
New York Stock Exchange (NYSE),72162
Nasdaq Global Select (NasdaqGS),824142
Nasdaq Capital Market (NasdaqCM),1391127
-,0001412558; 0001774462
Nasdaq Global Select (NasdaqGS),1009829
Nasdaq Global Select (NasdaqGS),203596
Nasdaq Global Select (NasdaqGS),21535
New York Stock Exchange (NYSE),26058
New York Stock Exchange (NYSE),65270
NYSE MKT LLC (NYSEAM),766011
-,0001414759; 0001429937
New York Stock Exchange (NYSE),24090
New York Stock Exchange (NYSE),6176
Nasdaq Global Select (NasdaqGS),1138723
Nasdaq Global Select (NasdaqGS),0001971213; 0000912752
New York Stock Exchange (NYSE),69488
Nasdaq Global Select (NasdaqGS),877422
Nasdaq Global Select (NasdaqGS),857855
-,0001173643; 0000904139
Nasdaq Global Select (NasdaqGS),0000034563; 0001305458
Nasdaq Global Select (NasdaqGS),101984
New York Stock Exchange (NYSE),1305168
Nasdaq Global Market (NasdaqGM),886128
Nasdaq Global Select (NasdaqGS),1125376
New York Stock Exchange (NYSE),67215
Nasdaq Global Select (NasdaqGS),855658
New York Stock Exchange (NYSE),1130713
Nasdaq Global Select (NasdaqGS),799850
Nasdaq Global Select (NasdaqGS),701288
Nasdaq Capital Market (NasdaqCM),0001350684; 0001552670
Nasdaq Global Select (NasdaqGS),874238
Nasdaq Global Market (NasdaqGM),0001305597; 0001347178
Nasdaq Global Select (NasdaqGS),-
Nasdaq Global Select (NasdaqGS),1141103
Nasdaq Capital Market (NasdaqCM),948708
Nasdaq Global Select (NasdaqGS),352825
New York Stock Exchange (NYSE),19745
Nasdaq Global Select (NasdaqGS),1031623
New York Stock Exchange (NYSE),357294
New York Stock Exchange (NYSE),60714
Nasdaq Global Select (NasdaqGS),1062822
-,1230992
New York Stock Exchange (NYSE),1142750
New York Stock Exchange (NYSE),1069878
New York Stock Exchange (NYSE),216085
New York Stock Exchange (NYSE),277509
Nasdaq Global Select (NasdaqGS),705432
Nasdaq Capital Market (NasdaqCM),1121702
Nasdaq Global Select (NasdaqGS),1053706
Nasdaq Global Select (NasdaqGS),934549
Nasdaq Global Select (NasdaqGS),835324
Nasdaq Global Select (NasdaqGS),1308208
Nasdaq Global Select (NasdaqGS),102212
New York Stock Exchange (NYSE),1108134
New York Stock Exchange (NYSE),1464423
New York Stock Exchange (NYSE),715072
Nasdaq Global Select (NasdaqGS),854560
New York Stock Exchange (NYSE),899751
Nasdaq Global Select (NasdaqGS),1094366
Nasdaq Global Select (NasdaqGS),708781
New York Stock Exchange (NYSE),1109116
Nasdaq Global Select (NasdaqGS),0001030471; 0001504697
Nasdaq Global Select (NasdaqGS),882796
New York Stock Exchange (NYSE),72633
-,1377757
Nasdaq Global Market (NasdaqGM),65770
Nasdaq Global Select (NasdaqGS),866273
